id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F5304	556.1737	14.61	4713	C25H23ClF4N4O3	singleton	13.48	18.01	2792	88765577	1.0	0.98	22808	5	20952557	0	0	0	2573270	22126719	22473763	20652268
F5307	473.2649	16.89	kp557_431.231		M0,ACN	12.34	21.43	2491	419898123	1.0	0.99	65	8	5067494	149678965	39641958	68328039	218103243	48917863	5352836	4961262
F5312	556.4423	17.26	kp729_555.4349		M0,M+H+	16.51	21.82	2794	10970663	1.0	0.9	224	8	1736909	823024	565944	2593009	441423	856716	1609489	1586685
F5313	388.2544	24.07	4716	C16H34O9	singleton	20.27	27.54	2114	246008381	1.0	0.95	321	8	55203011	9190919	4944743	7773213	5274591	57199903	54828415	54715182
F5314	388.2544	36.02	kp730_387.2471		M0,M+H+	31.37	40.67	2114	67649475	1.0	0.97	40	8	15316947	2900907	1494736	2319891	1389858	15572636	16548650	14947982
F5315	597.9119	42.2	106126		singleton	37.96	46.84	2951	4789110	1.0	0.91	298	3	1020608	3199132	0	605391	0	0	0	0
F5317	597.9119	290.44	106128		singleton	286.58	292.37	2951	1449183	0.86	0.74	4	3	783969	134255	0	555752	0	0	0	0
F5318	597.9119	297.0	106129		singleton	292.37	300.25	2951	1670035	0.8	0.8	4	3	1029645	108430	0	623206	0	0	0	0
F5320	473.3078	201.7	4717	C21H40N6O6	singleton	199.39	204.36	2492	709200	1.0	1.0	111	2	394579	0	0	0	0	0	0	334172
F5321	388.8247	139.49	4718	C7H3BrF3IO	singleton	137.22	142.1	2115	3717607	1.0	0.99	611	4	1129275	0	0	0	0	783773	939220	879346
F5322	556.4575	24.07	kp731_555.4492		M0,M+H+	22.95	25.97	2795	5939499	1.0	0.93	12	8	935492	433349	652733	469555	464716	863369	1090926	1022994
F5328	474.2329	30.99	4719	C20H44O6P2S	singleton	26.36	34.87	2494	2217484	0.9	0.9	65	4	551363	0	0	0	0	568112	543742	577267
F5331	388.9509	17.63	kp1472_387.9436		M0,M+H+	16.13	21.04	2116	49197336	1.0	0.84	131	8	4151273	7382672	10650583	11381894	4134556	1462156	4157128	2320685
